GLOBALEVENTID,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,AvgTone,SOURCEURL
1115566044,IGOUNOREFHCR,UNHCR,,IGO,GBRGOV,UNITED KINGDOM,GBR,GOV,1,18,18,1,-6.352249415,https://www.scoop.co.nz/stories/WO2307/S00136/uk-illegal-migration-bill-profound-impact-on-human-rights-and-international-refugee-protection-system.htm
1115572697,,,,,GBR,UNITED KINGDOM,GBR,,1,43,43,4,-0.2123078161,https://www.stokesentinel.co.uk/news/stoke-on-trent-news/refugee-smuggled-uk-back-lorry-8591908
1115578523,GBR,UNITED KINGDOM,GBR,,CVL,MIGRANT,,CVL,1,43,43,4,-7.911392405,https://www.scotsman.com/news/world/illegal-migration-bill-could-have-adverse-effect-on-global-refugee-rights-4222443
1115578668,,,,,REF,REFUGEE,,REF,1,42,42,4,-5.974842767,https://reliefweb.int/report/jordan/food-security-number-refugees-jordan-q1-2023
1115598854,CVL,MIGRANT,,CVL,,,,,1,73,73,7,-5.394190871,https://thechronicle.com.gh/libyan-authorities-rescue-refugees-in-desert-near-tunisia/
1115602027,CAN,CANADA,CAN,,,,,,1,15,15,1,-3.140041225,https://www.thestar.com/opinion/contributors/2023/07/18/refugees-forced-to-live-on-the-streets-of-toronto-is-a-national-disgrace-justin-trudeaus-liberals-should-wear-it.html
1115603341,ZMB,ZAMBIAN,ZMB,,GOV,GOVERNMENT,,GOV,1,10,10,1,-4.231625835,https://www.lusakatimes.com/2023/07/18/give-refugees-zambian-citizenshipzclu-urges-government/
1115604440,,,,,BUS,COMPANIES,,BUS,1,42,42,4,-5.206136789,https://news.yahoo.com/registering-refugees-using-personal-information-123007437.html
1115607656,COP,POLICE OFFICER,,COP,UKR,UKRAINIAN,UKR,,1,173,173,17,-3.488372093,https://metro.co.uk/2023/07/18/ukrainian-refugee-who-ran-off-with-married-brit-bit-a-police-officer-19146595/
1115612977,,,,,MYS,PUTRAJAYA,MYS,,1,173,173,17,-5.864197531,https://www.thestar.com.my/aseanplus/aseanplus-news/2023/07/18/fake-documents-myanmar-refugee039s-one-man-op-busted-by-malaysian-immigration
1115616510,ISRGOV,ISRAEL,ISR,GOV,JEWHSD010,CHABAD,,,1,46,46,4,-9.803921569,https://collive.com/israeli-minister-launches-program-for-200-jews-refugees-from-ukraine/
1115619655,,,,,EDU,SCHOOL,,EDU,1,874,87,8,-3.360514832,https://reliefweb.int/report/jordan/tight-funding-forces-wfp-reduce-food-assistance-syrian-refugees-jordan-including-camps
1115623605,IND,JAMMU AND KASHMIR,IND,,REF,REFUGEE,,REF,1,173,173,17,-10.22044088,https://www.aa.com.tr/en/asia-pacific/protesting-rohingya-refugees-tear-gassed-at-detention-center-in-kashmir/2948758
1115631328,COP,POLICE OFFICER,,COP,UKR,UKRAINE,UKR,,1,112,112,11,-4.41898527,https://www.lbc.co.uk/news/ukrainian-refugee-bit-police-miss-court/
1115636115,,,,,CRM,OUTLAW,,CRM,1,63,63,6,-6.776859504,https://www.presstv.ir/Detail/2023/07/18/707285/UK-refugee-crackdown-bill-at-odds-with-international-law--
1115636417,CAN,TORONTO,CAN,,GOV,GOVERNMENT,,GOV,1,233,23,2,-1.678504989,https://www.theglobeandmail.com/canada/article-ottawa-pledges-97-million-to-toronto-for-refugee-shelter-costs/
1115643159,CAN,TORONTO,CAN,,REF,REFUGEE,,REF,1,75,75,7,-2.512562814,https://www.cp24.com/news/canada-providing-nearly-100m-to-help-refugees-seeking-shelter-in-toronto-1.6484147
1115644498,UKRREF,UKRAINE,UKR,REF,,,,,1,173,173,17,1.379310345,https://www.loganbanner.com/news/5k-race-to-benefit-ukrainian-refugees/article_02913445-df38-598b-9fdc-d378b1494ca5.html
1115645393,CAN,OTTAWA,CAN,,CANREF,TORONTO,CAN,REF,1,333,33,3,-2.801676318,https://www.thestar.com/politics/provincial/2023/07/18/doug-ford-says-trudeau-government-must-do-more-to-help-refugee-crisis-in-toronto.html
1115651697,,,,,IGOREFIOM,INTERNATIONAL ORGANIZATION FOR MIGRATION,,IGO,1,80,80,8,-8.941542159,https://www.theaustralian.com.au/news/latest-news/fears-of-sudan-refugee-influx-to-west-misplaced-us-official/news-story/baeb0ef139279a7f695e67af6f2dbce1?nk=f74b595514341d730caa90d9ee47785b-1689699753
1115651699,,,,,IGOREFIOM,INTERNATIONAL ORGANIZATION FOR MIGRATION,,IGO,1,80,80,8,-9.31559425,https://news.yahoo.com/fears-sudan-refugee-influx-west-164232599.html
1115654867,,,,,AFG,AFGHANISTAN,AFG,,1,36,36,3,-1.548672566,https://news.yahoo.com/afghan-refugees-move-uk-hotels-165401590.html
1115656448,SDN,SUDANESE,SDN,,USAGOV,US OFFICIAL,USA,GOV,1,10,10,1,-9.686609687,https://www.weeklytimesnow.com.au/news/breaking-news/fears-of-sudan-refugee-influx-to-west-misplaced-us-official/news-story/baeb0ef139279a7f695e67af6f2dbce1?nk=1a8a007c368b73794917cc65993a30c5-1689700633
1115660653,,,,,REF,REFUGEE,,REF,1,42,42,4,-5.970149254,https://www.mykxlg.com/news/world/un-agency-slashes-cash-aid-to-syrian-refugees-in-jordan-raising-the-alarm-on-its/article_769e7f3e-8f7a-5079-a1fa-bc70e43c51e0.html
1115661430,JEW,JEWISH,,,JEWHSD010,CHABAD,,,1,42,42,4,0.6772009029,https://www.jewishpress.com/news/global/europe/ukraine/chabad-of-poland-mosaic-united-israels-diaspora-ministry-unite-to-host-jewish-ukrainian-refugees/2023/07/18/
1115661948,SYR,SYRIAN,SYR,,,,,,1,71,71,7,-7.58332141,https://www.burnabynow.com/world-news/un-agency-slashes-cash-aid-to-syrian-refugees-in-jordan-raising-the-alarm-on-its-funding-crunch-7292044
1115662473,OPP,PROTESTER,,OPP,REF,REFUGEE,,REF,1,12,12,1,-8.816120907,https://karennews.org/2012/04/refugees-protest-for-un-registration-to-resettle-in-a-third-country/
1115679378,,,,,REF,REFUGEE,,REF,1,42,42,4,-4.060913706,https://www.wuwm.com/2023-07-18/owner-of-a-lonely-heart-beth-nguyens-journey-from-refugee-to-motherhood
1115684200,CAN,TORONTO,CAN,,GOV,PREMIER,,GOV,1,70,70,7,-1.965065502,https://www.theepochtimes.com/ford-says-ottawa-must-do-more-to-help-resettle-refugees-in-toronto_5406389.html
1115687389,IGOUNO,UNITED NATIONS,,IGO,,,,,1,60,60,6,-7.221105644,https://www.foxnews.com/world/un-food-agency-cut-cash-aid-120000-syrian-refugees-jordan-amid-unprecedented-funding-crisis
1115687453,JOR,JORDANIAN,JOR,,JORGOV,JORDAN,JOR,GOV,1,12,12,1,-6.282894737,https://www.thestar.com.my/news/world/2023/07/19/un-refugee-agency-calls-for-immediate-action-to-address-funding-crisis-in-jordan
1115690388,SYRREF,SYRIAN,SYR,REF,JORREF,JORDAN,JOR,REF,1,162,162,16,-6.95035461,https://www.foxnews.com/world/un-food-agency-cut-cash-aid-120000-syrian-refugees-jordan-amid-unprecedented-funding-crisis.print
1115691737,EDU,SCHOLAR,,EDU,POL,POLISH,POL,,1,42,42,4,0.1396648045,https://dentonrc.com/denton_u/twu-professor-supports-teachers-of-ukrainian-refugees/article_1a8aaaa6-8e8b-5f7a-a3a3-3c3eea066fdc.html
1115693495,USAGOV,US OFFICIAL,USA,GOV,SDN,SUDANESE,SDN,,1,13,13,1,-9.217877095,https://www.barrons.com/news/fears-of-sudan-refugee-influx-to-west-misplaced-us-official-17cb9088
1115699547,IGOUNOREFHCR,UNHCR,,IGO,REFCVL,REFUGEE,,REF,1,43,43,4,-5.536912752,https://african.business/2023/07/apo-newsfeed/refugees-journey-from-khartoum-to-the-camps-in-east-sudan
1115701006,EDU,COLLEGE,,EDU,,,,,1,111,111,11,-4.528985507,https://www.irishtimes.com/politics/2023/07/18/rock-thrown-through-window-of-councillors-family-home-with-warning-to-stop-supporting-refugees/
1115701065,,,,,CANREF,TORONTO,CAN,REF,1,51,51,5,-4.444444444,https://www.canindia.com/canada-announces-nearly-100-million-in-housing-support-for-refugees-in-toronto/
1115703855,CVL,NATIONALS,,CVL,tam,TAMIL,,,1,173,173,17,-3.349282297,https://www.tamilguardian.com/content/mother-eelam-tamil-refugee-writes-letter-president-expedite-his-repatriation
1115708454,IRQ,IRAQI,IRQ,,SYR,SYRIA,SYR,,1,40,40,4,-10.12269939,https://syrianobserver.com/news/84059/baghdad-arrests-70-syrian-refugees-fears-of-handing-them-to-assads-intelligence.html
1115710271,CAN,TORONTO,CAN,,REF,REFUGEE,,REF,1,190,190,19,-4.320987654,https://nowtoronto.com/news/toronto-to-receive-97m-from-ottawa-to-combat-refugee-housing-crisis/
1115711966,,,,,EDU,SCHOOL,,EDU,1,874,87,8,-4.45026178,http://jordantimes.com/news/local/tight-funding-forces-wfp-reduce-assistance-syrian-refugees-jordan
1115712077,,,,,REF,REFUGEE,,REF,1,42,42,4,-7.989690722,http://jordantimes.com/news/local/intl-community-urged-%E2%80%98recognise-risks-ahead%E2%80%99-amid-refugee-funding-shortfall
1115713861,CAN,TORONTO,CAN,,,,,,1,75,75,7,-1.941747573,https://www.ipolitics.ca/news/feds-give-toronto-97m-for-refugee-claimants-ford-calls-for-more
1115725981,EDU,SCHOLAR,,EDU,POL,POLISH,POL,,1,42,42,4,0,https://dentonrc.com/denton_u/twu-professor-helps-polish-teachers-reach-ukrainian-refugees/article_1a8aaaa6-8e8b-5f7a-a3a3-3c3eea066fdc.html
1115727114,IGOUNOKID,UNICEF,,IGO,TTO,TRINIDAD AND TOBAGO,TTO,,1,30,30,3,0.2277904328,https://reliefweb.int/report/trinidad-and-tobago/un-tt-welcomes-decision-include-migrant-and-refugee-children-national-education
1115730234,IGOUNOREF,THE UN,,IGO,JOR,JORDAN,JOR,,1,71,71,7,-12.6984127,https://article.wn.com/view/2023/07/18/UN_refugee_agency_calls_for_immediate_action_to_address_fund/
1115730806,SYR,SYRIAN,SYR,,JORREF,JORDAN,JOR,REF,1,71,71,7,-7.792207792,https://www.wgmd.com/un-food-agency-to-cut-cash-aid-for-120000-syrian-refugees-in-jordan-amid-unprecedented-funding-crisis/
1115732403,COP,POLICE OFFICER,,COP,,,,,1,50,50,5,-4.021053255,https://www.telegraphindia.com/feeds/india/jk-rohingya-refugees-clash-with-police-demand-their-freedom-or-repatriation-to-myanmar/cid/1952938
1115736757,AFG,AFGHAN,AFG,,IGOUNO,UNITED NATIONS,,IGO,1,42,42,4,-9.136212625,https://pakobserver.net/afghan-refugees-in-pakistan/
1115744436,,,,,IGOREFIOM,INTERNATIONAL ORGANIZATION FOR MIGRATION,,IGO,1,80,80,8,-9.162303665,https://www.theaustralian.com.au/news/latest-news/fears-of-sudan-refugee-influx-to-west-misplaced-us-official/news-story/baeb0ef139279a7f695e67af6f2dbce1?nk=394de7c65cf9dbe2696641309bfd2a1b-1689733018
1115753949,AUS,AUSTRALIA,AUS,,,,,,1,20,20,2,4.651162791,https://www.bluemountainsgazette.com.au/story/8270118/i-am-very-happy-to-be-here-after-living-in-detention-for-so-long-afghan-refugees-find-safety/?cs=793
1115758371,SYR,SYRIAN,SYR,,,,,,1,71,71,7,-7.746478873,https://www.mymotherlode.com/news/middle-east/3176267/un-agency-slashes-cash-aid-to-syrian-refugees-in-jordan-raising-the-alarm-on-its-funding-crunch.html
1115759961,,,,,MMR,MYANMAR,MMR,,1,173,173,17,-5.828220859,https://asianews.network/fake-documents-myanmar-refugees-one-man-op-busted-by-malaysian-immigration/
1115760635,IGOUNOREFHCR,UNHCR,,IGO,REFCVL,REFUGEE,,REF,1,43,43,4,-5.536912752,https://venturesafrica.com/apostories/refugees-journey-from-khartoum-to-the-camps-in-east-sudan/
1115760925,MED,WEBSITE,,MED,,,,,1,120,120,12,1.527138562,https://www.anandabazar.com/world/uks-new-refugee-policy-is-ready-to-become-law/cid/1445963
1115769666,,,,,REF,REFUGEE,,REF,1,40,40,4,0,https://www.shropshirestar.com/news/politics/ukraine-war/2023/07/19/ukrainian-refugees-attend-morale-boosting-event-thanks-to-south-shropshire-borders-support-groups/
1115777568,,,,,EDU,SCHOOL,,EDU,1,874,87,8,-3.501094092,https://www.arabherald.com/news/273903244/tight-funding-forces-wfp-to-reduce-food-assistance-for-syrian-refugees-in-jordan-including-in-camps
1115777783,CHE,GENEVA,CHE,,GOV,GOVERNMENT,,GOV,1,57,57,5,-5.432937182,https://newsday.co.tt/2023/07/19/revise-laws-to-welcome-venezuelan-refugees/
1115784179,,,,,KEN,KENYA,KEN,,1,36,36,3,-5.434782609,https://www.businessghana.com/site/news/Politics/290119/US-envoy-to-make-refugee-plea-in-Kenya-amid-Sudan-crisis
1115786811,AUS,AUSTRALIA,AUS,,AUSGOV,KEVIN RUDD,AUS,GOV,1,73,73,7,-5.797101449,https://www.greenleft.org.au/content/refugee-rights-activsts-jim-chalmers-10-years-too-long
1115787826,REF,REFUGEE,,REF,,,,,1,17,17,1,-5.295315682,https://www.amnesty.org.au/nationwide-refugee-rallies-mark-10-year-anniversary-of-offshore-detention-and-resettlement-cruelty/
